('which', 'WDT')
('is', 'VBZ')
('rather', 'RB')
('impressive', 'JJ')
('you', 'PRP')
('see', 'VBP')
('here', 'RB')
('sensor', 'NN')
('which', 'WDT')
('localises', 'VBZ')
('particles', 'NNS')
('to', 'TO')
('about', 'IN')
('ten', 'JJ')
('micrometers', 'NNS')
('remind', 'VBP')
('you', 'PRP')
('that', 'IN')
('the', 'DT')
('diameter', 'NN')
('of', 'IN')
('human', 'JJ')
('hair', 'NN')
('is', 'VBZ')
('about', 'IN')
('100', 'CD')
('micrometers', 'NNS')
('i.e', 'NN')
('the', 'DT')
('sensor', 'NN')
('localisation', 'NN')
('is', 'VBZ')
('10', 'CD')
('times', 'NNS')
('more', 'RBR')
('precise', 'JJ')
('music', 'NN')
