('covariant', 'JJ')
('form', 'NN')
('the', 'DT')
('two', 'CD')
('are', 'VBP')
('related', 'VBN')
('by', 'IN')
('the', 'DT')
('metric', 'JJ')
('tensor', 'NN')
('g_Ã\x83Â¢Ã\x82Âµnu', 'NN')
('as', 'IN')
('shown', 'VBN')
('here', 'RB')
('all', 'DT')
('scalar', 'JJ')
('products', 'NNS')
('between', 'IN')
('four-vectors', 'NNS')
('are', 'VBP')
('invariant', 'JJ')
('under', 'IN')
('lorentz', 'JJ')
('transformations', 'NNS')
('more', 'RBR')
('generally', 'RB')
('the', 'DT')
('scalar', 'JJ')
('product', 'NN')
('is', 'VBZ')
('thus', 'RB')
('defined', 'VBN')
('as', 'IN')
('the', 'DT')
('product', 'NN')
('between', 'IN')
('covariant', 'NN')
('and', 'CC')
('contravariant', 'JJ')
('four-vector', 'NN')
('when', 'WRB')
('the', 'DT')
('same', 'JJ')
('greek', 'JJ')
('index', 'NN')
('shows', 'VBZ')
('up', 'RP')
('in', 'IN')
('the', 'DT')
('two', 'CD')
('implicit', 'JJ')
('summation', 'NN')
('over', 'IN')
('this', 'DT')
('index', 'NN')
('which', 'WDT')
('runs', 'VBZ')
('from', 'IN')
('zero', 'CD')
('to', 'TO')
('three', 'CD')
('is', 'VBZ')
('assumed', 'VBN')
('the', 'DT')
('first', 'JJ')
('example', 'NN')
('here', 'RB')
('repeats', 'VBZ')
('the', 'DT')
('norm', 'NN')
('squared', 'VBD')
('of', 'IN')
('the', 'DT')
('space-time', 'JJ')
('four-vector', 'NN')
('the', 'DT')
('second', 'JJ')
('example', 'NN')
('shows', 'VBZ')
('the', 'DT')
('norm', 'NN')
('of', 'IN')
('the', 'DT')
('energy-momentum', 'JJ')
('four-vector', 'NN')
('which', 'WDT')
('is', 'VBZ')
('the', 'DT')
('square', 'NN')
('of', 'IN')
('the', 'DT')
('invariant', 'JJ')
('mass', 'NN')
('the', 'DT')
('third', 'JJ')
('example', 'NN')
('is', 'VBZ')
('scalar', 'JJ')
('product', 'NN')
('between', 'IN')
('the', 'DT')
('space-time', 'NN')
('and', 'CC')
('the', 'DT')
('energy-momentum', 'JJ')
('four-vectors', 'NNS')
('which', 'WDT')
('shows', 'VBZ')
('up', 'RP')
('in', 'IN')
('the', 'DT')
('wave', 'NN')
('function', 'NN')
('of', 'IN')
('particles', 'NNS')
('the', 'DT')
('scalar', 'JJ')
('products', 'NNS')
('between', 'IN')
('four-vectors', 'NNS')
('are', 'VBP')
('all', 'DT')
('indeed', 'RB')
('scalars', 'NNS')
('under', 'IN')
('lorentz', 'JJ')
('transformation', 'NN')
('so', 'RB')
('are', 'VBP')
('invariant', 'JJ')
('when', 'WRB')
('one', 'CD')
('changes', 'NNS')
('from', 'IN')
('one', 'CD')
('inertial', 'JJ')
('frame', 'NN')
('to', 'TO')
('another', 'DT')
('the', 'DT')
('notation', 'NN')
('simplifies', 'NNS')
('if', 'IN')
('we', 'PRP')
('adopt', 'VBP')
('the', 'DT')
('system', 'NN')
('of', 'IN')
('natural', 'JJ')
('units', 'NNS')
('since', 'IN')
('the', 'DT')
('ubiquitous', 'JJ')
('speed', 'NN')
('of', 'IN')
('light', 'JJ')
('disappears', 'NNS')
('two', 'CD')
('other', 'JJ')
('important', 'JJ')
('examples', 'NNS')
('of', 'IN')
('four-vectors', 'NNS')
('are', 'VBP')
('the', 'DT')
('four-vector', 'NN')
('of', 'IN')
('electromagnetic', 'JJ')
('current', 'JJ')
('density', 'NN')
('j^Ã\x83Â¢Ã\x82Âµ', 'NN')
('which', 'WDT')
('has', 'VBZ')
('the', 'DT')
('charge', 'NN')
('density', 'NN')
('rho', 'NN')
('as', 'IN')
('the', 'DT')
('time-like', 'JJ')
('component', 'NN')
('and', 'CC')
('the', 'DT')
('vector', 'NN')
('current', 'JJ')
('density', 'NN')
('as', 'IN')
('the', 'DT')
('space-like', 'JJ')
('component', 'NN')
('the', 'DT')
('four-vector', 'NN')
('of', 'IN')
('the', 'DT')
('electromagnetic', 'JJ')
('potential', 'NN')
('a^Ã\x83Â¢Ã\x82Âµ', 'NN')
('which', 'WDT')
('has', 'VBZ')
('the', 'DT')
('electric', 'JJ')
('potential', 'JJ')
('as', 'IN')
('time-like', 'JJ')
('component', 'NN')
('and', 'CC')
('the', 'DT')
('magnetic', 'JJ')
('vector-potential', 'JJ')
('as', 'IN')
('the', 'DT')
('space-like', 'JJ')
('component', 'NN')
('as', 'IN')
('an', 'DT')
('example', 'NN')
('we', 'PRP')
('calculate', 'VBP')
('here', 'RB')
('the', 'DT')
('total', 'NN')
('available', 'JJ')
('energy', 'NN')
('in', 'IN')
('the', 'DT')
('collision', 'NN')
('of', 'IN')
('200', 'CD')
('gev', 'NN')
('electron', 'NN')
('with', 'IN')
('proton', 'NN')
('at', 'IN')
('rest', 'NN')
('in', 'IN')
('the', 'DT')
('laboratory', 'NN')
('frame', 'NN')
('and', 'CC')
('we', 'PRP')
('confront', 'VBP')
('the', 'DT')
('results', 'NNS')
('with', 'IN')
('collision', 'NN')
('in', 'IN')
('the', 'DT')
('center', 'NN')
('of', 'IN')
('mass', 'NN')
('frame', 'NN')
('where', 'WRB')
('200', 'CD')
('gev', 'NN')
('electron', 'NN')
('collides', 'NNS')
('with', 'IN')
